ASSETNUM;DESCRIPTION;PLUSTMODEL;PLUSTYEAR;ORGID;STATUS;ALNVALUE;DESCRIPTION_1;ASSETTYPE
11281;S 519 HD-SUPRA  Euro 6;642;2022;EURO;OPERATING;1;Diesel;FLEET
11282;S 519 HD-SUPRA  Euro 6;642;2022;EURO;OPERATING;1;Diesel;FLEET
11283;S 519 HD-SUPRA  Euro 6;642;2022;EURO;OPERATING;1;Diesel;FLEET
11307;S 519 HD-SUPRA  Euro 6;642;2022;EURO;OPERATING;1;Diesel;FLEET
11308;S 519 HD-SUPRA  Euro 6;642;2022;EURO;OPERATING;1;Diesel;FLEET
11309;S 519 HD-SUPRA  Euro 6;642;2022;EURO;OPERATING;1;Diesel;FLEET
11916;MAN Lion's Coach;775;2022;EURO;OPERATING;1;Diesel;FLEET
11933;SETRA S516HD Euro VI;741;2016;EURO;OPERATING;1;Diesel;FLEET
11935;SETRA S516HD Euro VI;741;2016;EURO;OPERATING;1;Diesel;FLEET
11954;VDL FUTURA FHD2 EURO VI;797;2022;EURO;OPERATING;1;Diesel;FLEET
11987;10.225 FOCL EURO VI;212;2015;EURO;OPERATING;1;Diesel;FLEET
11988;MAN Gianino Euro IV;696;2017;EURO;OPERATING;1;Diesel;FLEET
11992;MB TOURISMO Euro VI;332;2023;EURO;OPERATING;1;Diesel;FLEET
11993;MB TOURISMO Euro VI;332;2023;EURO;OPERATING;1;Diesel;FLEET
11994;MB TOURISMO Euro VI;332;2023;EURO;OPERATING;1;Diesel;FLEET
11995;MB TOURISMO Euro VI;332;2023;EURO;OPERATING;1;Diesel;FLEET
11996;MB TOURISMO Euro VI;332;2023;EURO;OPERATING;1;Diesel;FLEET
11997;MB TOURISMO Euro VI;332;2023;EURO;OPERATING;1;Diesel;FLEET
13005;S 519 HD-SUPRA  Euro 6;642;2023;EURO;OPERATING;1;Diesel;FLEET
13006;S 519 HD-SUPRA  Euro 6;642;2023;EURO;OPERATING;1;Diesel;FLEET
13007;S 519 HD-SUPRA  Euro 6;642;2023;EURO;OPERATING;1;Diesel;FLEET
13008;S 519 HD-SUPRA  Euro 6;642;2023;EURO;OPERATING;1;Diesel;FLEET
13009;S 519 HD-SUPRA  Euro 6;642;2023;EURO;OPERATING;1;Diesel;FLEET
13010;S 519 HD-SUPRA  Euro 6;642;2023;EURO;OPERATING;1;Diesel;FLEET
13011;S 519 HD-SUPRA  Euro 6;642;2023;EURO;OPERATING;1;Diesel;FLEET
13012;S 519 HD-SUPRA  Euro 6;642;2023;EURO;OPERATING;1;Diesel;FLEET
13013;S 519 HD-SUPRA;642;2023;EURO;OPERATING;1;Diesel;FLEET
13015;S 519 HD-SUPRA  Euro 6;642;2023;EURO;OPERATING;1;Diesel;FLEET
13016;S 519 HD-SUPRA  Euro 6;642;2023;EURO;OPERATING;1;Diesel;FLEET
13022;SCANIA K500 CB 6X2 D. PISO EURO VI;907;2023;EURO;OPERATING;1;Diesel;FLEET
13023;SCANIA K500 CB 6X2 D. PISO EURO VI;907;2023;EURO;OPERATING;1;Diesel;FLEET
13024;SCANIA K500 CB 6X2 D. PISO EURO VI;907;2023;EURO;OPERATING;1;Diesel;FLEET
13026;SCANIA K500 CB 6X2 D. PISO EURO VI;907;2023;EURO;OPERATING;1;Diesel;FLEET
13055;S 519 HD EURO VI;631;2023;EURO;OPERATING;1;Diesel;FLEET
13056;S 519 HD EURO VI;631;2023;EURO;OPERATING;1;Diesel;FLEET
13057;S 519 HD EURO VI;631;2023;EURO;OPERATING;1;Diesel;FLEET
13058;S 519 HD EURO VI;631;2023;EURO;OPERATING;1;Diesel;FLEET
13059;S 519 HD EURO VI;631;2023;EURO;OPERATING;1;Diesel;FLEET
13061;S 519 HD EURO VI;631;2023;EURO;OPERATING;1;Diesel;FLEET
13062;S 519 HD EURO VI;631;2023;EURO;OPERATING;1;Diesel;FLEET
13063;S 519 HD EURO VI;631;2023;EURO;OPERATING;1;Diesel;FLEET
13071;S 519 HD Euro 6;631;2023;EURO;OPERATING;1;Diesel;FLEET
13077;S 519 HD Euro 6;631;2023;EURO;OPERATING;1;Diesel;FLEET
13082;S 519 HD Euro 6;631;2023;EURO;OPERATING;1;Diesel;FLEET
13095;Scania K410 EB4X2 i6 EURO VI;510;2016;EURO;OPERATING;1;Diesel;FLEET
13242;MB TOURISMO Euro VI;332;2023;EURO;OPERATING;1;Diesel;FLEET
13243;MB TOURISMO Euro VI;332;2023;EURO;OPERATING;1;Diesel;FLEET
13244;MB TOURISMO Euro VI;332;2023;EURO;OPERATING;1;Diesel;FLEET
